,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.20193798449612402,0.07128656847203019,0.9235294117647059,0.18388560016782973,0.45689738565015764,12.620300600385413
Forest,0.9313953488372092,0.05,0.0058823529411764705,0.1553341462215606,0.4052068472635475,0.3990217885613403
LogReg,0.9337209302325582,0.0,0.0,0.1538801393378401,0.4373812836960712,0.24144554302771815
LDA,0.9155038759689921,0.25746336996336994,0.1411764705882353,0.18956472280116826,0.3802825280440165,0.3173606707072474
KNN,0.9337209302325582,0.0,0.0,0.12179719708374781,0.40734139809347825,1.0839316334593403
SVM,0.9337209302325582,0.0,0.0,0.10012039337405593,0.43516453652147036,0.2440868848945854
