,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.23488372093023255,0.07305517947756343,0.9,0.16919699181096282,0.44651034875389817,10.772895782559122
Forest,0.9325581395348836,0.08333333333333334,0.011764705882352941,0.1614704465077441,0.4233730885430144,0.48994780428101414
LogReg,0.9337209302325581,0.03333333333333333,0.0058823529411764705,0.14889740333524418,0.4356728803843732,0.24193345013493436
LDA,0.9112403100775193,0.26921196450608215,0.1588235294117647,0.19573370458074588,0.39969189507374797,0.33947512026897386
KNN,0.9310077519379846,0.0,0.0,0.11703888859874469,0.4226989913462499,1.0809879012910661
SVM,0.9341085271317829,0.0,0.0,0.1353529989765409,0.42675070709219887,0.2501251533673606
